Frame Rate:,29.9700299700
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
156,00:00:05.205,6.8083680555555555,7.9971701388888885,6.276666666666666,6.1512673611111115
157,00:00:05.239,6.26453125,7.252222222222223,5.850329861111111,5.691041666666667
158,00:00:05.272,6.468518518518518,7.537517361111111,5.999965277777778,5.868072916666667
159,00:00:05.305,6.2059953703703705,7.22828125,5.798020833333333,5.591684027777778
160,00:00:05.339,8.64142361111111,12.391631944444445,6.136475694444444,7.396163194444444
161,00:00:05.372,6.201533564814814,7.205434027777778,5.848576388888889,5.550590277777777
162,00:00:05.405,6.583182870370371,7.942465277777778,5.8201736111111115,5.986909722222222
163,00:00:05.439,5.956412037037037,6.754444444444444,5.758628472222222,5.356163194444444
164,00:00:05.472,6.238408564814815,7.537326388888889,5.701371527777778,5.476527777777778
165,00:00:05.506,5.944681712962963,7.148385416666667,5.562569444444445,5.123090277777778
166,00:00:05.539,6.288987268518518,7.577378472222223,5.8921875,5.397395833333333
167,00:00:05.572,6.35527199074074,7.560451388888889,6.113611111111111,5.391753472222222
168,00:00:05.606,6.523553240740742,7.992118055555555,6.12671875,5.451822916666667
169,00:00:05.639,6.273217592592592,7.26546875,6.2428993055555555,5.311284722222222
170,00:00:05.672,6.195561342592593,7.153975694444444,6.225225694444444,5.207482638888889
171,00:00:05.706,6.85486111111111,8.284184027777778,6.6374305555555555,5.64296875
172,00:00:05.739,6.420891203703704,6.968003472222223,6.915815972222222,5.378854166666667
173,00:00:05.772,7.441423611111111,8.381545138888889,7.749600694444444,6.193125
174,00:00:05.806,8.340630787037037,9.268541666666666,8.862274305555555,6.891076388888889
175,00:00:05.839,8.848107638888889,10.032673611111111,9.354635416666667,7.157013888888889
176,00:00:05.873,9.920769675925925,11.685243055555556,10.248802083333333,7.8282638888888885
177,00:00:05.906,9.883275462962962,11.253315972222222,10.610260416666666,7.78625
178,00:00:05.939,9.914039351851853,11.50373263888889,10.387378472222222,7.851006944444444
179,00:00:05.973,9.120706018518518,10.457638888888889,9.662916666666666,7.2415625
180,00:00:06.006,8.73027777777778,10.05670138888889,9.21467013888889,6.919461805555556
181,00:00:06.039,8.933142361111111,10.462604166666667,9.266440972222222,7.070381944444445
182,00:00:06.073,8.910300925925926,10.329565972222222,9.364618055555555,7.03671875
183,00:00:06.106,8.782164351851852,10.250659722222222,9.15826388888889,6.937569444444445
184,00:00:06.139,8.936718749999999,10.506302083333333,9.221336805555556,7.082517361111111
185,00:00:06.173,8.557980324074075,9.85078125,8.97826388888889,6.844895833333333
186,00:00:06.206,8.782187500000001,10.361944444444445,8.925052083333334,7.059565972222222
187,00:00:06.240,8.558038194444444,9.785763888888889,8.931354166666667,6.956996527777778
188,00:00:06.273,8.682488425925927,9.761666666666667,9.136753472222223,7.149045138888889
189,00:00:06.306,9.061313657407409,10.57796875,9.094791666666667,7.511180555555556
190,00:00:06.340,8.30363425925926,9.191527777777777,8.6515625,7.0678125
191,00:00:06.373,8.260341435185184,9.102239583333333,8.627760416666666,7.051024305555556
192,00:00:06.406,8.082118055555556,9.474114583333334,7.877795138888889,6.894444444444445
193,00:00:06.440,7.162442129629629,7.717690972222222,7.4358506944444445,6.333784722222222
194,00:00:06.473,6.6310011574074075,7.527847222222222,6.402760416666666,5.962395833333333
195,00:00:06.506,6.50386574074074,7.398559027777778,6.320017361111111,5.793020833333333
196,00:00:06.540,6.264594907407408,7.230381944444445,5.905,5.658402777777778
197,00:00:06.573,5.844936342592593,6.5613020833333335,5.625798611111111,5.347708333333333
198,00:00:06.607,5.610480324074075,6.134375,5.482690972222223,5.214375
199,00:00:06.640,5.690966435185185,6.783576388888889,5.0746875,5.214635416666667
200,00:00:06.673,4.771660879629629,5.2047743055555555,4.614305555555555,4.495902777777777
201,00:00:06.707,4.126226851851851,4.649444444444445,3.8648784722222222,3.864357638888889
202,00:00:06.740,4.852841435185186,6.007604166666667,4.087378472222222,4.463541666666667
203,00:00:06.773,3.1396296296296295,3.3565104166666666,3.0839583333333334,2.9784201388888887
204,00:00:06.807,3.5156365740740743,3.941666666666667,3.2676041666666666,3.337638888888889
205,00:00:06.840,3.881006944444444,5.013472222222222,3.0457118055555554,3.5838368055555554
206,00:00:06.874,2.8293692129629626,2.956232638888889,2.76671875,2.76515625
207,00:00:06.907,3.2173958333333332,3.5163194444444446,2.9992708333333336,3.136597222222222
208,00:00:06.940,3.8752025462962965,5.044270833333333,2.99234375,3.5889930555555556
