Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
190,00:06.3,5.752613209,5.106309679,4.977294922,7.174235026
191,00:06.4,5.53418873,4.253933377,4.872721354,7.475911458
192,00:06.4,6.639503762,5.871799045,5.141601563,8.905110677
193,00:06.4,6.151584201,5.140842014,5.471516927,7.842393663
194,00:06.5,6.590992115,5.787868924,5.440646701,8.54446072
195,00:06.5,8.028537326,7.318142361,6.090901693,10.67656793
196,00:06.5,6.645797164,5.701063368,5.612955729,8.623372396
197,00:06.6,8.711163556,7.618109809,6.912245009,11.60313585
198,00:06.6,9.508074725,7.800645616,7.811442057,12.9121365
199,00:06.6,9.434072989,7.796983507,7.472330729,13.03290473
200,00:06.7,8.670364945,7.096028646,7.177056207,11.73800998
201,00:06.7,9.328477648,8.318495009,7.308403863,12.35853407
202,00:06.7,9.489782263,8.449517144,7.659803602,12.36002604
203,00:06.8,10.89777742,10.16908095,8.39453125,14.12972005
204,00:06.8,11.22033239,10.27251519,9.253851997,14.13462999
205,00:06.8,12.16546405,11.169949,9.65616862,15.67027452
206,00:06.9,12.46859628,11.77661133,9.524658203,16.10451931
207,00:06.9,13.68835901,13.33143446,10.3222385,17.41140408
208,00:06.9,14.12057834,13.40660265,10.86227756,18.09285482
209,00:07.0,15.71300817,15.27761502,12.04649523,19.81491428
210,00:07.0,16.26879883,16.56822374,12.22547743,20.01269531
211,00:07.0,16.68231879,16.86612956,12.48060438,20.70022244
212,00:07.1,16.13754159,16.47526042,11.58013238,20.35723199
213,00:07.1,16.41940647,17.18147786,11.72143555,20.35530599
214,00:07.1,16.18924515,16.45488824,11.88406033,20.22878689
215,00:07.2,16.99595812,17.24007161,12.75981988,20.98798286
216,00:07.2,17.28738064,17.61933051,12.79847548,21.44433594
217,00:07.2,17.24891493,15.81030273,13.7742513,22.16219076
218,00:07.3,16.34708659,15.15565321,12.63842773,21.24717882
219,00:07.3,16.45953595,14.95993381,12.6651747,21.75349935
220,00:07.3,16.15532769,15.0620931,12.20887587,21.19501411
221,00:07.4,15.31029369,13.65459527,12.0812717,20.19501411
222,00:07.4,15.86017976,14.34855143,12.51787652,20.71411133
223,00:07.4,16.17210106,13.9172092,13.32533095,21.27376302
224,00:07.5,17.13699002,15.13994683,14.41861979,21.85240343
225,00:07.5,15.66562681,12.89274089,13.54253472,20.56160482
226,00:07.5,14.74117477,12.75672743,12.26459418,19.20220269
227,00:07.6,13.87651005,12.48920356,10.9300944,18.2102322
228,00:07.6,15.00459346,13.28146701,11.90657552,19.82573785
229,00:07.6,14.9585413,13.87483724,11.57394748,19.42683919
230,00:07.7,16.69797092,16.5097385,12.52205404,21.06212023
231,00:07.7,16.96610966,16.85335286,12.87776693,21.1672092
232,00:07.7,17.36216905,17.21731228,13.23703342,21.63216146
233,00:07.8,18.46845161,18.29736328,14.38311089,22.72488064
234,00:07.8,20.30343967,20.11876085,15.97151693,24.82004123
235,00:07.8,19.55038339,20.08951823,14.90112305,23.6605089
236,00:07.9,18.65499313,19.39341905,13.59654405,22.97501628
237,00:07.9,20.80774378,22.13704427,15.18923611,25.09695095
238,00:07.9,21.38082321,23.41362847,15.99091254,24.7379286
239,00:08.0,22.36951136,25.08829753,16.26535373,25.75488281
240,00:08.0,20.91114185,22.72827148,15.68438043,24.32077365
241,00:08.0,21.44675022,23.37627496,16.00748698,24.95648872
242,00:08.1,22.05710178,24.91677517,16.0746799,25.17985026
243,00:08.1,23.72224935,27.08349609,17.38346354,26.69978841
244,00:08.1,24.25728805,27.9731174,18.19265408,26.60609266
245,00:08.2,23.77814851,28.30740017,17.04541016,25.9816352
246,00:08.2,23.50655563,27.69867622,16.72167969,26.09931098
247,00:08.2,23.15651223,26.87310113,16.46462674,26.13180881
248,00:08.3,24.0636122,28.85460069,16.71446398,26.62177192
249,00:08.3,24.67248987,29.07394748,17.43438043,27.50914171
250,00:08.3,24.98139106,29.85549588,17.53683811,27.55183919
251,00:08.4,25.5864077,31.17062717,17.57519531,28.01340061
252,00:08.4,25.91878255,31.27620443,17.79622396,28.68391927
253,00:08.4,26.08473488,32.41975911,17.7765842,28.05786133
254,00:08.5,25.37311921,31.60394965,17.05710178,27.45830621
255,00:08.5,25.88524486,32.24240451,17.49034288,27.9229872
256,00:08.5,25.70889395,31.54115126,17.54465061,28.04087999
257,00:08.6,25.87211552,31.86423069,17.46080187,28.29131402
258,00:08.6,26.10091146,32.81130642,17.37323676,28.11819119
259,00:08.6,25.72119141,32.1805013,17.08460829,27.89846463
260,00:08.7,25.09857856,31.18478733,16.54478624,27.56616211
261,00:08.7,24.94061957,30.83384874,16.52072483,27.46728516
262,00:08.7,24.55295139,29.43950738,16.56342231,27.65592448
263,00:08.8,24.7181713,30.57831489,16.3678928,27.20830621
